popular_name,candidate_name,jaccard_distance,length_ratio
apache-airflow-providers-apache-hdfs,apache-airflow-providers-hdfs,0.0,1.2413793103448276
comm,commm,0.0,1.25
pexpect,expect,0.0,1.1666666666666667
lxml,lxmlx,0.0,1.25
manim,anima,0.0,1.0
etelemetry,telemetry,0.0,1.1111111111111112
wheel,wheeel,0.0,1.2
babel,bababel,0.0,1.4
manim,imanim,0.0,1.2
nvidia-cufft-cu11,nvidia-cufft-cu111,0.0,1.0588235294117647
pyrr,pyrrr,0.0,1.25
pytest-lazy-fixtures,pytest-lazy-fixture,0.0,1.0526315789473684
rstr,strs,0.0,1.0
pymem,pymeme,0.0,1.2
textual-plotext,textual-plot,0.0,1.25
manim,imani,0.0,1.0
nvidia-cuda-cupti-cu11,nvidia-cuda-cupti-cu111,0.0,1.0454545454545454
vllm,vlllm,0.0,1.25
django-extensions,django-extension,0.0,1.0625
torchopt,hoptorch,0.0,1.0
pytest-pylint,pylint-pytest,0.0,1.0
leval,aleva,0.0,1.0
pipx,pipipx,0.0,1.5
xgboost,xgbooost,0.0,1.1428571428571428
cppy,cpppy,0.0,1.25
cwcwidth,wcwidth,0.0,1.1428571428571428
nvidia-nccl-cu11,nvidia-nccl-cu111,0.0,1.0625
pdbp,dbpd,0.0,1.0
kokoro,korokoro,0.0,1.3333333333333333
pyrender,pyrenderer,0.0,1.25
more-itertools,moore-itertools,0.0,1.0714285714285714
postgrest,postgres,0.0,1.125
mlserver,mlserve,0.0,1.1428571428571428
openmm,openmmm,0.0,1.1666666666666667
tifffile,tiffile,0.0,1.1428571428571428
moment,omoment,0.0,1.1666666666666667
pyipp,yippy,0.0,1.0
pip-api,ip-api,0.0,1.1666666666666667
apache-airflow-providers-apache-iceberg,apache-airflow-providers-iceberg,0.0,1.21875
numerize,numerizer,0.0,1.125
prior,priori,0.0,1.2
bubus,ubus,0.0,1.25
nvidia-cudnn-cu11,nvidia-cudnn-cu111,0.0,1.0588235294117647
crc,rcr,0.0,1.0
htmlparser,htmlparsers,0.0,1.1
neptune,neptun,0.0,1.1666666666666667
evdev,devd,0.0,1.25
nvidia-cuda-runtime-cu11,nvidia-cuda-runtime-cu111,0.0,1.0416666666666667
glog,loglog,0.0,1.5
nvidia-cusolver-cu11,nvidia-cusolver-cu111,0.0,1.05
schedule,scheduled,0.0,1.125
status,ustatus,0.0,1.1666666666666667
mypy,mypypy,0.0,1.5
textstat,textstats,0.0,1.125
transaction,transactions,0.0,1.0909090909090908
expression,rexpression,0.0,1.1
sweeps,psweep,0.0,1.0
peewee,peewe,0.0,1.2
callee,calleee,0.0,1.1666666666666667
findiff,diffindiff,0.0,1.4285714285714286
mysql-mcp-server,mcp-mysql-server,0.0,1.0
pip,pipi,0.0,1.3333333333333333
nvidia-cusparse-cu11,nvidia-cusparse-cu111,0.0,1.05
cachetools,acachetools,0.0,1.1
pyee,pyeee,0.0,1.25
treetable,tabletree,0.0,1.0
ccy,cccy,0.0,1.3333333333333333
wcwidth,cwcwidth,0.0,1.1428571428571428
neptune,eptune,0.0,1.1666666666666667
keke,kek,0.0,1.3333333333333333
responses,response,0.0,1.125
pip,ipi,0.0,1.0
synapse-s3-storage-provider,s3-synapse-storage-provider,0.0,1.0
hoptorch,torchopt,0.0,1.0
dockerfile,dockerfiler,0.0,1.1
nvidia-nvtx-cu11,nvidia-nvtx-cu111,0.0,1.0625
peewee,pewee,0.0,1.2
cachecontrol,acachecontrol,0.0,1.0833333333333333
solus,oluso,0.0,1.0
python-path,python-patho,0.0,1.0909090909090908
pytools,pytoools,0.0,1.1428571428571428
scs,csc,0.0,1.0
nvidia-cublas-cu11,nvidia-cublas-cu111,0.0,1.0555555555555556
stestr,testr,0.0,1.2
username,usernamer,0.0,1.125
pytest-cases,pytest-case,0.0,1.0909090909090908
docker-compose,docker-composer,0.0,1.0714285714285714
none,nonone,0.0,1.5
fpdf,pdfp,0.0,1.0
transformations,transformation,0.0,1.0714285714285714
reverse-geocoder,reverse-geocode,0.0,1.0666666666666667
cpca,pcpca,0.0,1.25
rq-dashboard,arq-dashboard,0.0,1.0833333333333333
borb,orbo,0.0,1.0
pip2pi,pip2p,0.0,1.2
asana,sasana,0.0,1.2
pylint-pytest,pytest-pylint,0.0,1.0
pipe,ipipe,0.0,1.25
pyop,pyopy,0.0,1.25
proxy-py,py-proxy,0.0,1.0
tools,toools,0.0,1.2
clickclick,clickclickclick,0.0,1.5
pytest-lazy-fixture,pytest-lazy-fixtures,0.0,1.0526315789473684
pytrilogy,pytrilogyt,0.0,1.1111111111111112
connect-python,econnect-python,0.0,1.0714285714285714
mss,msss,0.0,1.3333333333333333
nvidia-curand-cu11,nvidia-curand-cu111,0.0,1.0555555555555556
pyotp,yotpy,0.0,1.0
