popular_name,candidate_name,ecosystem,jaccard_distance,github_hit_count,example_repo
apache-airflow-providers-apache-hdfs,apache-airflow-providers-hdfs,pypi,0.0,0.0,
comm,commm,pypi,0.0,31.0,Program-Trace-Optimisation/PTO
pexpect,expect,pypi,0.0,279552.0,nathanlopez/Stitch
lxml,lxmlx,pypi,0.0,4.0,normcontrol/normcontrol-Document-Parser
manim,anima,pypi,0.0,2528.0,ContextLab/hypertools
etelemetry,telemetry,pypi,0.0,124672.0,kedro-org/vscode-kedro
wheel,wheeel,pypi,0.0,2.0,ayyman-e/TSDPE
babel,bababel,pypi,0.0,0.0,
manim,imanim,pypi,0.0,3.0,Petlja/StemSimulacijeOS-files
nvidia-cufft-cu11,nvidia-cufft-cu111,pypi,0.0,0.0,
opentelemetry-instrumentation-chromadb,opentelemetry-if-instrumentation-chromadb,pypi,0.0571428571428571,0.0,
azure-monitor-opentelemetry-exporter,azure-opentelemetry-exporter-azuremonitor,pypi,0.0588235294117647,0.0,
streamlit-echarts,streamlit-echarts5,pypi,0.0588235294117647,3.0,mitbal/harvest
opentelemetry-instrumentation-replicate,opentelemetry-if-instrumentation-replicate,pypi,0.0588235294117647,0.0,
python-interface,python-interfaces,pypi,0.0625,0.0,
segment-anything,segment-anythingv,pypi,0.0625,0.0,
django-bootstrap3,django-bootstrap,pypi,0.0625,12128.0,OpenAgricultureFoundation/openag-device-software
django-bootstrap5,django-bootstrap,pypi,0.0625,12128.0,OpenAgricultureFoundation/openag-device-software
django-jsonfield,django-jsonfieldI,pypi,0.0625,0.0,
nvidia-cublas-cu12,nvidia-cublas-cu112,pypi,0.0625,0.0,
spotinst-agent-2,spotinst-agent,pypi,0.0714285714285714,6.0,kfiramar/baldar
fastapi-filter,fastapi-filters,pypi,0.0714285714285714,8.0,JonBunator/Enterr
mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-cn,pypi,0.074074074074074,0.0,
djangorestframework-jsonapi,ak-djangorestframework-jsonapi,pypi,0.074074074074074,1.0,tejeshn48/Naukriapp
configargparse,configargparser,pypi,0.0769230769230768,7.0,TailinZhou/ManGO_SOO
django-tables2,django-tables,pypi,0.0769230769230768,1410.0,momosecurity/aswan
elasticsearch9,elasticsearch,pypi,0.0769230769230768,22208.0,certtools/intelmq
ciscoconfparse,ciscoconfparse2,pypi,0.0769230769230768,11.0,Tes3awy/cisco-config-auditor
flask-openapi3,flask-openapi,pypi,0.0769230769230768,377.0,splunk/attack_range
databind-json,databind-json2,pypi,0.0769230769230768,0.0,
progressbar33,progressbar3,pypi,0.0833333333333333,443.0,nyaadevs/nyaa
recognizers-text-choice,ms-recognizers-text-choice,pypi,0.0833333333333333,0.0,
opentelemetry-instrumentation-openai-agents,opentelemetry-instrumentation-openai-agents-v2,pypi,0.0833333333333333,61.0,open-telemetry/opentelemetry-python-contrib
nvidia-ml-py,nvidia-ml-py3,pypi,0.0833333333333333,20864.0,rail-berkeley/softlearning
pyinstrument,pyinstruments,pypi,0.0833333333333333,1.0,ducminhgd/ipdb
case-converter,case-convert,pypi,0.0833333333333333,49.0,dong50252409/cfg_exporter
flake8-commas,flake8-comma,pypi,0.0833333333333333,402.0,iw4p/proxy-scraper
toolbox-core,utoolbox-core,pypi,0.0833333333333333,0.0,
webdavclient3,webdavclient,pypi,0.0833333333333333,240.0,organicmaps/organicmaps
json-schema-to-pydantic,bson-schema-to-pydantic,pypi,0.0869565217391304,0.0,
react-router,08-react-router,npm,0.1538461538461538,40.0,jorgegarba/codigo-virtual-8
react-router,09-react-router,npm,0.1538461538461538,27.0,dexter-ifti/100Xdevs
react-router,27-react-router,npm,0.1538461538461538,7.0,hyein310/SeSAC_Dobong1_Web
style-loader,7-style-loader,npm,0.1538461538461538,0.0,
router,0router,npm,0.1666666666666666,12.0,zcuss/9router
router,1router,npm,0.1666666666666666,17.0,ConradZhangcong/nodejs
router,3router,npm,0.1666666666666666,16.0,saltycrane/react-chained-modals-comparison
jquery,4jquery,npm,0.1666666666666666,4.0,KSDeng/web-testing-2019fall
router,7router,npm,0.1666666666666666,53.0,hyyejin/newfile
colors,8colors,npm,0.1666666666666666,6.0,jmdisuanco/pinipig
touch,1touch,npm,0.1999999999999999,2.0,dhruva-nu/f1application
clipboard,2-clipboard,npm,0.1999999999999999,27.0,benwinding/svg-2-clipboard
table,2table,npm,0.1999999999999999,133.0,pnp/sp-dev-fx-webparts
color,3color,npm,0.1999999999999999,33.0,cristianstaicu/SecBench.js
